1.993,-1.993
1.993,-1.993
1.986,-1.986
2.028,-2.028
1.986,-1.986
1,-1
-1,1
1,-1
-1,1
1.993,-1.993
1.993,-1.993
1.993,-1.993
1.993,-1.993
-1,1
-1,1
1,-1
-1,1
-1,1
-1,1
-1,1
1.986,-1.986
1.986,-1.986
1.993,-1.993
1.131,-1.131
1.097,-1.097
1.972,-1.972
1.972,-1.972
1.966,-1.966
1,-1
-1,1
-1,1
1,-1
-1,1
-1,1
2.834,-2.834
2.855,-2.855
2.886,-2.886
2.866,-2.866
1.655,-1.655
1.959,-1.959
1.966,-1.966
1,-1
-1,1
1,-1
1,-1
1,-1
1,-1
1,-1
-1,1
1.297,-1.297
1.993,-1.993
-1,1
1,-1
1.993,-1.993
-1,1
1.993,-1.993
1.979,-1.979
1.979,-1.979
2.979,-2.979
2.979,-2.979
-1,1
1.986,-1.986
-1,1
1.993,-1.993
1.993,-1.993
1,-1
1.993,-1.993
1.986,-1.986
1.966,-1.966
1.966,-1.966
1.966,-1.966
-1,1
1,-1
1.993,-1.993
1.993,-1.993
-1,1
1,-1
1,-1
1,-1
1,-1
1,-1
-1,1
-1,1
-1,1
-1.25,1.25
-1,1
-1,1
1,-1
-1,1
1.993,-1.993
-1,1
1,-1
1,-1
1.869,-1.869
1.862,-1.862
1.862,-1.862
1.869,-1.869
1.869,-1.869
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.869,-1.869
1.876,-1.876
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.869,-1.869
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.855,-1.855
1.862,-1.862
1.862,-1.862
1.862,-1.862
1.862,-1.862
