1,14.586
2,14.086
3,15.276
4,14.155
5,17.034
6,15.897
7,12.534
8,15.207
9,16.776
10,13.931
11,14.914
12,15.276
13,13.0
14,12.086
15,11.69
16,13.397
17,12.431
18,15.224
19,15.483
20,15.414
21,16.0
22,15.845
23,13.379
24,14.517
25,13.672
26,13.483
27,13.914
28,15.345
29,16.034
30,16.586
31,15.862
32,13.534
33,16.207
34,15.155
35,11.776
36,13.138
37,12.224
38,11.931
39,10.224
40,11.586
41,11.534
42,10.638
43,16.862
44,16.897
45,15.603
46,15.81
47,13.351
48,12.977
49,12.241
50,12.586
51,12.534
52,12.207
53,11.466
54,10.862
55,12.741
56,13.259
57,12.603
58,14.207
59,14.897
60,14.707
61,14.397
62,13.621
63,14.069
64,14.362
65,14.724
66,13.69
67,14.655
68,15.569
69,17.621
70,21.259
71,21.603
72,18.172
73,19.948
74,23.224
75,29.112
76,30.034
77,33.543
78,35.81
79,36.172
80,37.69
81,35.948
82,41.345
83,45.086
84,49.741
85,51.569
86,54.603
87,51.362
88,56.845
89,62.655
90,67.845
91,73.362
92,78.138
93,87.759
94,96.879
95,109.828
96,112.155
97,118.534
98,117.19
99,124.466
100,136.276
101,142.776
102,140.741
103,140.19
104,149.466
105,155.034
106,160.983
107,165.776
108,170.172
109,162.776
110,162.69
111,166.0
112,181.155
113,203.879
114,232.603
115,251.017
116,263.034
117,262.362
118,264.293
119,270.552
120,247.052
121,243.19
122,238.414
123,249.155
124,254.621
125,273.345
126,295.103
127,277.034
128,288.983
129,289.293
130,282.086
131,288.741
132,288.328
133,293.483
134,327.241
135,324.879
136,365.5
137,371.983
138,374.0
139,384.948
140,369.276
141,374.983
142,370.293
143,354.966
144,358.121
145,364.362
146,354.69
147,354.672
148,365.448
149,382.707
150,367.397
151,376.776
152,406.707
153,414.293
154,414.0
155,438.483
156,441.293
157,428.776
158,433.138
159,423.845
160,408.155
161,407.246
162,410.422
163,406.927
164,392.552
165,396.586
166,418.397
167,425.345
168,400.017
169,387.31
170,396.621
171,391.155
172,396.81
173,418.086
174,422.0
175,418.724
176,429.017
177,427.224
178,400.776
179,389.207
180,394.845
181,371.948
182,382.552
183,392.552
184,378.776
185,356.017
186,387.983
187,368.931
188,366.5
189,381.155
190,369.276
191,376.466
192,382.293
193,372.241
194,362.259
195,356.293
196,346.457
197,348.638
198,338.828
199,347.862
200,354.931
201,335.928
202,333.303
203,335.541
204,341.59
205,334.603
206,327.255
207,332.562
208,338.024
209,331.176
210,327.293
211,341.694
212,334.69
213,335.84
214,347.164
215,339.069
216,341.483
217,351.621
218,339.086
219,337.266
220,333.429
221,336.787
222,325.542
223,333.487
224,344.598
225,343.502
226,346.699
227,334.724
228,342.69
229,334.224
230,338.672
231,339.31
232,326.431
233,332.181
234,330.775
235,339.922
236,342.999
237,346.145
238,346.347
239,342.451
240,354.607
241,344.495
242,350.999
243,365.33
244,356.471
245,363.095
246,364.993
247,361.02
248,357.461
249,341.712
250,353.084
251,343.06
252,350.277
253,342.804
254,345.158
255,348.927
256,341.316
257,347.205
258,342.75
259,347.415
260,344.752
261,339.504
262,339.272
263,332.696
264,350.137
265,357.491
266,351.846
267,348.339
268,328.435
269,341.221
270,335.937
271,338.016
272,336.285
273,339.864
274,351.029
275,353.056
276,362.686
277,358.61
278,355.31
279,357.32
280,354.933
281,367.193
282,384.091
283,430.98
284,487.291
285,521.258
286,529.027
287,513.726
288,476.822
289,457.936
290,450.061
291,448.101
292,474.468
293,553.137
294,628.064
295,645.647
296,635.574
297,595.808
298,568.404
299,538.121
300,520.424
301,504.227
302,511.237
303,599.712
304,657.981
305,676.396
306,666.725
307,633.459
308,593.598
309,563.013
310,555.208
311,578.766
312,596.056
313,611.294
314,644.166
315,653.538
316,655.467
317,654.31
318,653.05
319,638.543
320,642.536
321,643.063
322,638.142
323,667.755
324,709.403
325,717.464
326,722.457
327,721.312
328,716.253
329,697.952
330,677.186
331,660.506
332,651.602
333,668.63
334,691.708
335,723.132
336,725.228
337,705.204
338,690.99
339,652.591
340,630.555
341,618.312
342,616.638
343,609.119
344,669.428
345,699.978
346,698.39
347,713.872
348,724.623
349,692.788
350,634.66
351,651.135
352,624.318
353,571.31
354,559.493
355,544.796
356,500.874
357,463.177
358,457.722
359,432.611
360,391.362
361,381.95
362,368.52
363,347.599
364,337.712
365,318.479
366,304.936
367,295.168
368,282.091
369,251.582
370,249.866
371,231.133
372,220.193
373,205.322
374,195.727
375,204.96
376,189.796
377,183.977
378,172.088
379,161.355
380,152.554
381,146.803
382,146.398
383,135.596
384,135.104
385,140.492
386,143.414
387,139.095
388,130.345
389,123.431
390,118.483
391,117.138
392,108.621
393,102.31
394,105.379
395,107.379
396,100.948
397,106.103
398,96.31
399,95.828
400,92.845
401,92.948
402,86.724
403,92.948
404,97.155
405,105.362
406,106.793
407,106.431
408,99.879
409,100.414
410,91.621
411,86.069
412,79.397
413,81.483
414,82.448
415,84.948
416,82.776
417,79.621
418,78.017
419,75.328
420,77.155
421,76.586
422,74.172
423,70.483
424,71.379
425,70.483
426,74.862
427,72.259
428,73.759
429,69.862
430,64.0
431,62.431
432,60.828
433,58.621
434,60.207
435,60.466
436,67.897
437,68.672
438,72.638
439,70.172
440,69.586
441,68.534
442,66.172
443,61.276
444,70.379
445,84.259
446,79.259
447,81.466
448,78.259
449,74.138
450,65.879
451,60.103
452,58.31
453,54.103
454,57.983
455,50.172
456,49.552
457,49.776
458,50.724
459,46.81
460,45.483
461,36.466
462,37.224
463,37.914
464,36.971
465,39.08
466,34.793
467,31.552
468,27.086
469,24.276
470,27.19
471,26.19
472,25.138
473,26.009
474,23.569
475,21.672
476,20.276
477,20.121
478,18.431
479,17.81
480,17.828
